iter	Passed	Remaining
0	72	72485
1	74	37067
2	75	25225
3	77	19208
4	78	15708
5	81	13451
6	83	11874
7	87	10840
8	94	10445
9	98	9706
10	100	9050
11	102	8436
12	104	7954
13	106	7529
14	108	7144
15	111	6878
16	113	6570
17	115	6286
18	119	6151
19	121	5938
20	126	5902
21	128	5726
22	130	5560
23	132	5400
24	134	5241
25	135	5080
26	137	4944
27	139	4825
28	140	4714
29	142	4601
30	143	4498
31	145	4396
32	147	4335
33	149	4260
34	151	4175
35	159	4258
36	160	4182
37	161	4098
38	163	4020
39	164	3946
40	165	3878
41	169	3862
42	173	3853
43	176	3835
44	196	4173
45	198	4116
46	200	4064
47	203	4028
48	205	3995
49	207	3950
50	220	4102
51	222	4058
52	224	4008
53	226	3964
54	228	3932
55	230	3892
56	233	3858
57	235	3825
58	244	3905
59	246	3867
60	256	3941
61	258	3903
62	260	3867
63	261	3828
64	263	3794
65	265	3757
66	267	3719
67	268	3684
68	270	3653
69	272	3621
70	274	3590
71	277	3575
72	280	3556
73	281	3519
74	282	3483
75	283	3450
76	285	3420
77	286	3387
78	287	3354
79	288	3321
80	289	3289
81	291	3258
82	292	3228
83	293	3201
84	296	3190
85	298	3172
86	317	3332
87	320	3320
88	326	3340
89	329	3333
90	340	3402
91	342	3383
92	345	3365
93	346	3341
94	349	3330
95	351	3314
96	354	3298
97	357	3292
98	370	3370
99	374	3366
100	376	3354
101	384	3388
102	399	3475
103	401	3456
104	402	3434
105	404	3413
106	406	3389
107	408	3375
108	410	3353
109	412	3336
110	414	3317
111	416	3304
112	432	3396
113	434	3374
114	435	3351
115	437	3337
116	439	3313
117	440	3290
118	441	3270
119	446	3276
120	451	3278
121	456	3282
122	458	3268
123	461	3258
124	465	3260
125	467	3242
126	469	3227
127	471	3212
128	473	3198
129	477	3195
130	484	3213
131	486	3197
132	488	3184
133	490	3169
134	492	3157
135	494	3141
136	496	3124
137	497	3107
138	500	3098
139	502	3089
140	506	3085
141	520	3147
142	523	3139
143	526	3127
144	527	3112
145	530	3102
146	532	3091
147	534	3078
148	536	3064
149	540	3061
150	543	3057
151	547	3052
152	548	3039
153	551	3029
154	555	3029
155	562	3045
156	565	3035
157	569	3032
158	570	3019
159	577	3031
160	579	3020
161	581	3006
162	582	2993
163	584	2980
164	586	2966
165	589	2960
166	613	3061
167	617	3058
168	619	3047
169	623	3042
170	628	3047
171	637	3067
172	640	3061
173	642	3051
174	649	3061
175	652	3056
176	662	3079
177	669	3092
178	671	3080
179	673	3066
180	674	3053
181	676	3038
182	677	3026
183	679	3013
184	681	3000
185	684	2995
186	689	2999
187	692	2992
188	694	2979
189	695	2966
190	696	2951
191	698	2941
192	700	2927
193	701	2914
194	702	2901
195	704	2888
196	705	2876
197	707	2863
198	708	2850
199	709	2837
200	710	2824
201	712	2814
202	713	2802
203	715	2790
204	717	2783
205	719	2772
206	720	2759
207	724	2759
208	726	2750
209	728	2741
210	730	2730
211	733	2725
212	757	2798
213	762	2799
214	765	2794
215	769	2791
216	775	2797
217	779	2797
218	790	2820
219	795	2821
220	799	2816
221	801	2808
222	805	2807
223	808	2802
224	810	2793
225	813	2787
226	815	2776
227	817	2766
228	818	2756
229	820	2746
230	822	2738
231	825	2732
232	827	2724
233	830	2720
234	833	2713
235	835	2704
236	836	2693
237	837	2682
238	839	2674
239	841	2663
240	842	2652
241	843	2642
242	844	2631
243	845	2620
244	846	2609
245	848	2599
246	849	2589
247	851	2581
248	852	2571
249	854	2563
250	862	2572
251	867	2573
252	868	2564
253	870	2557
254	877	2563
255	879	2556
256	881	2549
257	883	2541
258	889	2543
259	895	2547
260	897	2539
261	899	2533
262	900	2524
263	902	2515
264	905	2510
265	918	2535
266	930	2554
267	933	2551
268	938	2551
269	941	2544
270	945	2543
271	950	2544
272	955	2544
273	959	2541
274	965	2544
275	967	2536
276	970	2533
277	977	2537
278	980	2533
279	984	2530
280	985	2522
281	987	2513
282	988	2503
283	989	2494
284	990	2486
285	992	2476
286	993	2467
287	994	2458
288	995	2449
289	996	2440
290	998	2433
291	1000	2426
292	1005	2426
293	1007	2420
294	1011	2418
295	1019	2424
296	1021	2418
297	1023	2412
298	1025	2403
299	1026	2396
300	1028	2388
301	1030	2381
302	1055	2427
303	1057	2420
304	1075	2451
305	1077	2443
306	1079	2435
307	1178	2647
308	1181	2642
309	1185	2638
310	1188	2633
311	1202	2651
312	1216	2669
313	1219	2663
314	1225	2664
315	1230	2663
316	1234	2659
317	1238	2656
318	1240	2648
319	1241	2638
320	1243	2630
321	1245	2622
322	1247	2613
323	1248	2605
324	1250	2597
325	1253	2590
326	1267	2608
327	1269	2600
328	1271	2592
329	1273	2584
330	1287	2602
331	1295	2607
332	1298	2601
333	1301	2594
334	1303	2587
335	1305	2578
336	1306	2570
337	1307	2561
338	1308	2552
339	1309	2542
340	1311	2534
341	1312	2525
342	1314	2518
343	1317	2511
344	1318	2503
345	1319	2494
346	1322	2488
347	1323	2479
348	1324	2471
349	1326	2462
350	1327	2455
351	1329	2447
352	1330	2439
353	1332	2431
354	1333	2422
355	1335	2415
356	1336	2407
357	1337	2398
358	1339	2392
359	1343	2387
360	1360	2407
361	1397	2462
362	1402	2461
363	1425	2491
364	1430	2487
365	1433	2483
366	1482	2556
367	1483	2548
368	1490	2548
369	1493	2542
370	1497	2538
371	1498	2529
372	1500	2522
373	1510	2527
374	1512	2521
375	1517	2518
376	1519	2510
377	1521	2503
378	1522	2494
379	1523	2485
380	1524	2477
381	1526	2470
382	1544	2488
383	1546	2480
384	1560	2492
385	1638	2605
386	1662	2633
387	1668	2631
388	1675	2631
389	1683	2633
390	1685	2625
391	1688	2619
392	1690	2610
393	1692	2602
394	1694	2594
395	1695	2586
396	1711	2599
397	1712	2590
398	1714	2582
399	1716	2574
400	1717	2565
401	1718	2556
402	1719	2547
403	1721	2539
404	1722	2530
405	1724	2523
406	1727	2516
407	1738	2522
408	1740	2515
409	1744	2510
410	1749	2507
411	1752	2500
412	1753	2492
413	1755	2484
414	1761	2482
415	1772	2488
416	1774	2481
417	1776	2473
418	1778	2466
419	1780	2458
420	1782	2451
421	1783	2443
422	1785	2435
423	1788	2429
424	1792	2424
425	1798	2423
426	1800	2416
427	1802	2409
428	1804	2401
429	1807	2396
430	1811	2390
431	1816	2388
432	1821	2385
433	1827	2383
434	1835	2383
435	1848	2390
436	1850	2384
437	1852	2377
438	1853	2369
439	1855	2360
440	1856	2352
441	1857	2345
442	1859	2338
443	1863	2333
444	1866	2328
445	1868	2321
446	1871	2314
447	1873	2308
448	1879	2306
449	1886	2305
450	1888	2298
451	1889	2291
452	1891	2283
453	1892	2276
454	1894	2268
455	1895	2261
456	1897	2255
457	1903	2252
458	1911	2253
459	1915	2248
460	1917	2242
461	1919	2235
462	1921	2228
463	1923	2221
464	1925	2215
465	1927	2208
466	1931	2204
467	1938	2203
468	1942	2199
469	1945	2193
470	1947	2187
471	1949	2180
472	1951	2174
473	1953	2167
474	1954	2160
475	1956	2153
476	1957	2146
477	1962	2143
478	1964	2136
479	1965	2129
480	1966	2122
481	1968	2115
482	1970	2109
483	1972	2102
484	1973	2095
485	1974	2088
486	1977	2082
487	1979	2076
488	1980	2069
489	1982	2063
490	1984	2056
491	1987	2052
492	1989	2045
493	1998	2047
494	2012	2053
495	2015	2047
496	2020	2044
497	2028	2044
498	2036	2044
499	2042	2042
500	2044	2036
501	2046	2029
502	2047	2023
503	2053	2020
504	2057	2016
505	2065	2016
506	2067	2010
507	2069	2004
508	2071	1997
509	2072	1991
510	2074	1984
511	2075	1978
512	2078	1972
513	2083	1970
514	2085	1964
515	2087	1957
516	2089	1951
517	2090	1945
518	2093	1939
519	2096	1934
520	2097	1928
521	2099	1922
522	2100	1915
523	2101	1909
524	2102	1902
525	2103	1895
526	2105	1889
527	2106	1882
528	2107	1876
529	2110	1871
530	2114	1867
531	2116	1861
532	2117	1855
533	2118	1849
534	2121	1844
535	2130	1843
536	2132	1838
537	2134	1833
538	2136	1827
539	2138	1821
540	2151	1825
541	2153	1820
542	2155	1814
543	2163	1813
544	2165	1807
545	2177	1810
546	2183	1808
547	2190	1806
548	2199	1807
549	2206	1804
550	2214	1804
551	2218	1800
552	2221	1795
553	2222	1789
554	2224	1783
555	2225	1777
556	2227	1771
557	2231	1767
558	2234	1762
559	2240	1760
560	2241	1754
561	2243	1748
562	2245	1742
563	2247	1737
564	2248	1731
565	2250	1725
566	2251	1719
567	2252	1713
568	2254	1707
569	2255	1701
570	2258	1696
571	2260	1691
572	2261	1685
573	2266	1682
574	2268	1676
575	2272	1673
576	2280	1671
577	2282	1666
578	2284	1661
579	2286	1655
580	2290	1651
581	2293	1647
582	2295	1641
583	2296	1636
584	2300	1631
585	2303	1627
586	2305	1621
587	2307	1616
588	2309	1611
589	2311	1605
590	2313	1600
591	2319	1598
592	2323	1594
593	2325	1589
594	2327	1584
595	2333	1581
596	2335	1576
597	2337	1571
598	2338	1565
599	2340	1560
600	2343	1555
601	2346	1551
602	2348	1546
603	2351	1541
604	2353	1536
605	2356	1532
606	2358	1527
607	2360	1522
608	2365	1518
609	2367	1513
610	2399	1527
611	2420	1534
612	2422	1529
613	2423	1523
614	2425	1518
615	2427	1513
616	2429	1508
617	2435	1505
618	2440	1501
619	2442	1497
620	2447	1493
621	2450	1489
622	2453	1484
623	2455	1479
624	2457	1474
625	2460	1469
626	2468	1468
627	2470	1463
628	2472	1458
629	2477	1454
630	2479	1449
631	2480	1444
632	2482	1439
633	2484	1434
634	2485	1428
635	2486	1423
636	2487	1417
637	2494	1415
638	2496	1410
639	2499	1405
640	2504	1402
641	2506	1397
642	2508	1392
643	2510	1387
644	2511	1382
645	2513	1377
646	2515	1372
647	2519	1368
648	2522	1364
649	2558	1377
650	2574	1380
651	2585	1379
652	2622	1393
653	2631	1392
654	2634	1387
655	2637	1383
656	2640	1378
657	2645	1375
658	2647	1369
659	2649	1364
660	2650	1359
661	2652	1354
662	2655	1349
663	2658	1345
664	2661	1340
665	2662	1335
666	2663	1329
667	2664	1324
668	2667	1319
669	2672	1316
670	2673	1310
671	2675	1305
672	2676	1300
673	2678	1295
674	2679	1290
675	2681	1285
676	2682	1279
677	2688	1276
678	2691	1272
679	2693	1267
680	2695	1262
681	2704	1261
682	2722	1263
683	2724	1258
684	2726	1253
685	2740	1254
686	2747	1251
687	2754	1249
688	2767	1249
689	2771	1245
690	2779	1242
691	2805	1248
692	2806	1243
693	2808	1238
694	2829	1241
695	2833	1237
696	2839	1234
697	2842	1229
698	2844	1224
699	2849	1221
700	2856	1218
701	2859	1213
702	2863	1209
703	2865	1204
704	2866	1199
705	2868	1194
706	2871	1189
707	2872	1184
708	2874	1179
709	2877	1175
710	2905	1180
711	2912	1178
712	2932	1180
713	2941	1178
714	2947	1174
715	2964	1175
716	2977	1175
717	3005	1180
718	3008	1175
719	3010	1170
720	3012	1165
721	3018	1162
722	3020	1157
723	3021	1151
724	3023	1146
725	3025	1142
726	3028	1137
727	3029	1132
728	3032	1127
729	3034	1122
730	3036	1117
731	3037	1112
732	3038	1106
733	3040	1101
734	3041	1096
735	3044	1091
736	3046	1086
737	3048	1082
738	3050	1077
739	3051	1072
740	3052	1066
741	3054	1061
742	3055	1056
743	3056	1051
744	3058	1046
745	3059	1041
746	3061	1036
747	3088	1040
748	3168	1061
749	3169	1056
750	3173	1052
751	3176	1047
752	3183	1044
753	3187	1040
754	3189	1035
755	3192	1030
756	3194	1025
757	3196	1020
758	3199	1015
759	3201	1011
760	3203	1005
761	3204	1000
762	3208	996
763	3210	991
764	3211	986
765	3213	981
766	3215	976
767	3216	971
768	3217	966
769	3218	961
770	3220	956
771	3223	952
772	3225	947
773	3227	942
774	3229	937
775	3231	932
776	3239	929
777	3243	925
778	3292	934
779	3320	936
780	3341	936
781	3350	934
782	3368	933
783	3369	928
784	3373	924
785	3377	919
786	3379	914
787	3398	914
788	3400	909
789	3401	904
790	3403	899
791	3410	895
792	3413	890
793	3414	885
794	3416	880
795	3421	876
796	3424	872
797	3430	868
798	3432	863
799	3434	858
800	3436	853
801	3438	848
802	3444	845
803	3457	842
804	3458	837
805	3460	832
806	3462	828
807	3464	823
808	3467	818
809	3468	813
810	3474	809
811	3488	807
812	3491	803
813	3498	799
814	3513	797
815	3516	793
816	3520	788
817	3528	785
818	3531	780
819	3532	775
820	3546	773
821	3548	768
822	3553	764
823	3554	759
824	3556	754
825	3557	749
826	3559	744
827	3564	740
828	3569	736
829	3572	731
830	3573	726
831	3576	722
832	3583	718
833	3585	713
834	3586	708
835	3588	703
836	3589	699
837	3591	694
838	3594	689
839	3604	686
840	3608	682
841	3610	677
842	3612	672
843	3615	668
844	3617	663
845	3620	659
846	3623	654
847	3626	649
848	3628	645
849	3631	640
850	3635	636
851	3637	631
852	3639	627
853	3641	622
854	3642	617
855	3644	613
856	3646	608
857	3649	603
858	3652	599
859	3653	594
860	3659	590
861	3664	586
862	3667	582
863	3668	577
864	3672	573
865	3676	568
866	3678	564
867	3680	559
868	3686	555
869	3700	552
870	3793	561
871	3795	557
872	3819	555
873	3822	551
874	3824	546
875	3856	545
876	3860	541
877	3872	538
878	3875	533
879	3884	529
880	3887	525
881	3889	520
882	3891	515
883	3896	511
884	3898	506
885	3900	501
886	3902	497
887	3905	492
888	3907	487
889	3910	483
890	3961	484
891	3964	479
892	3978	476
893	3991	473
894	3996	468
895	3998	464
896	4004	459
897	4011	455
898	4024	452
899	4031	447
900	4033	443
901	4037	438
902	4062	436
903	4067	431
904	4070	427
905	4072	422
906	4074	417
907	4082	413
908	4085	409
909	4088	404
910	4126	403
911	4153	400
912	4164	396
913	4167	392
914	4196	389
915	4209	386
916	4218	381
917	4221	377
918	4224	372
919	4244	369
920	4247	364
921	4263	360
922	4277	356
923	4282	352
924	4286	347
925	4288	342
926	4308	339
927	4310	334
928	4344	332
929	4373	329
930	4400	326
931	4414	322
932	4416	317
933	4440	313
934	4465	310
935	4475	306
936	4477	301
937	4481	296
938	4487	291
939	4493	286
940	4528	283
941	4531	279
942	4545	274
943	4561	270
944	4565	265
945	4585	261
946	4588	256
947	4590	251
948	4598	247
949	4600	242
950	4603	237
951	4604	232
952	4606	227
953	4610	222
954	4614	217
955	4616	212
956	4617	207
957	4619	202
958	4622	197
959	4623	192
960	4625	187
961	4626	182
962	4627	177
963	4629	172
964	4630	167
965	4632	163
966	4634	158
967	4637	153
968	4658	149
969	4681	144
970	4684	139
971	4688	135
972	4713	130
973	4720	126
974	4734	121
975	4748	116
976	4760	112
977	4763	107
978	4765	102
979	4766	97
980	4769	92
981	4773	87
982	4775	82
983	4777	77
984	4778	72
985	4780	67
986	4781	62
987	4782	58
988	4785	53
989	4798	48
990	4801	43
991	4803	38
992	4894	34
993	4927	29
994	4938	24
995	4940	19
996	4965	14
997	4968	9
998	4970	4
999	4973	0
